#,プロジェクト,トラッカー,親チケット,親チケットの題名,ステータス,優先度,題名,作成者,担当者,更新日,カテゴリ,対象バージョン,開始日,期日,予定工数,合計予定工数,進捗率,作成日,終了日,最終更新者,関連するチケット,ファイル,実開始日,実終了日,残工数(Lychee),合計残工数(Lychee),プライベート,説明,最新のコメント
171407,O-Beya（マルチエージェント）,タスク,"","",新規,通常,エージェント自動選択で何も選ばれなかった場合の動作修正,Eさん,"",2025/05/27 17:37,"","",2025/05/27,"","","",0,2025/05/27 17:37,"","","","","","","","",いいえ,"想定：selectedAgentsが空になる
現状：selectedAgentsが変化しない",""
171405,O-Beya（マルチエージェント）,タスク,"","",フィードバック,通常,リファクタスケジュール遅れの真因分析,Eさん,Eさん,2025/06/11 09:52,"",Sprint#21,2025/05/28,2025/06/10,"","",0,2025/05/27 17:33,"",Eさん,"","",2025/05/28,"","","",いいえ,"",2025/6/5 チーム内での相談完了
171363,業務アシスタント作成検討,タスク,"","",終了,通常,【API化】動作確認,Cさん,Cさん,2025/06/11 09:53,"",Sprint#48,2025/05/28,2025/06/10,"","",0,2025/05/27 15:13,2025/06/11 09:53,Fさん,"","",2025/06/02,2025/06/11,0.00,0.00,いいえ,"",""
171358,業務アシスタント作成検討,タスク,"","",終了,通常,【API化】実行サンプル用意_ExcelVBA,Cさん,Cさん,2025/06/11 09:53,"",Sprint#48,2025/05/28,2025/06/10,"","",0,2025/05/27 15:09,2025/06/11 09:53,Fさん,"","",2025/05/30,2025/06/11,0.00,0.00,いいえ,"","csのマージ完了次第ブランチを分けてVBAのプルリクを送る
gitにエクスポートしたbasファイルを上げる。"
171355,データ化ツール,タスク,"","",終了,通常,【M365Copilot】推論時承認バグ修正,Cさん,Cさん,2025/06/03 09:43,"",Sprint#4,2025/05/28,2025/06/10,"","",0,2025/05/27 14:57,2025/06/03 09:43,Cさん,"","",2025/05/30,2025/06/03,0.00,0.00,いいえ,"",""
171352,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【デプロイ準備】デプロイ前事前確認(環境変数・手順まとめ),Aさん,Lさん,2025/06/12 16:04,"",Sprint♯25,2025/05/28,2025/06/10,"","",80,2025/05/27 14:43,2025/06/12 16:04,Aさん,"","",2025/06/10,2025/06/12,0.00,0.00,いいえ,"Goal：
・手順まとめ
・環境変数のJSON作成（AppService・Functions）",""
171351,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【デプロイ準備】developでの結合テスト,Aさん,Lさん,2025/06/12 16:04,"",Sprint♯25,2025/05/28,2025/06/10,"","",0,2025/05/27 14:43,2025/06/12 16:04,Aさん,"","",2025/06/12,2025/06/12,0.00,0.00,いいえ,"Goal：
田中さんからもらったデータで動作確認し、結果が一致すること
※転記内容の誤差はAIのため生じるが、システム作りこみ部分は正しいことを確認する","田中さんからの受領したファイルセットがダウンロード不可：杉原
→6/12に改めて受領したファイルセットで結合テスト予定"
171348,MatlabCoDriver,タスク,"","",終了,通常,佐野さんツールの動き確認,Bさん,"",2025/05/27 14:41,"",sprint#9,2025/05/14,2025/05/27,"","",0,2025/05/27 14:40,2025/05/27 14:41,Bさん,"","",2025/05/27,2025/05/27,0.00,0.00,いいえ,"",""
171347,O-Beya（マルチエージェント）,課題,"","",新規,通常,課題：ユーザーメッセージの文字数が多すぎると、テーマ一覧画面で縮小しないと日時が見えなくなる,Eさん,"",2025/06/10 15:18,"","",2025/06/11,2025/06/24,"","",0,2025/05/27 14:40,"",Eさん,"","","","","","",いいえ,"テーマ一覧に表示されるタイトルの文字数上限を決めて設定する。
上限以降の文字は「...」に置き換え。",""
171320,MatlabCoDriver,タスク,"","",終了,通常,デプロイ,Cさん,"",2025/06/17 09:33,"",sprint#11,2025/06/11,2025/06/24,"","",0,2025/05/27 13:52,2025/06/17 09:33,Bさん,"","",2025/06/17,2025/06/17,0.00,0.00,いいえ,"",""
171319,MatlabCoDriver,タスク,171318,【フロント】接続DB表示（環境切り替えのような機能）システム開発,終了,通常,フロントエンド実装,Cさん,"",2025/06/09 16:53,"",sprint#10,2025/05/28,2025/06/03,"","",0,2025/05/27 13:51,2025/06/09 16:53,Bさん,"","",2025/05/30,2025/06/09,0.00,0.00,いいえ,6/4にPG実施,""
171318,MatlabCoDriver,タスク,"","",終了,通常,【フロント】接続DB表示（環境切り替えのような機能）システム開発,Cさん,Bさん,2025/06/09 16:53,"",sprint#10,2025/05/28,2025/06/03,"",0.00,100,2025/05/27 13:50,2025/06/09 16:53,Bさん,"","",2025/05/30,2025/06/09,0.00,0.00,いいえ,"","大西さんに展開先で利用しているデータをもらうように依頼
"
171250,走行制御DRアシスタント,タスク,"","",新規,通常,影響点編集画面,Dさん,Dさん,2025/06/13 17:44,"","",2025/06/03,2025/06/09,"",0.00,0,2025/05/27 09:17,"",Dさん,"","",2025/06/04,"","",0.00,いいえ,"",どうすれば手間が少なくなるか考える
171249,走行制御DRアシスタント,タスク,"","",新規,通常,新規行追加,Dさん,"",2025/06/13 17:44,"","",2025/06/03,2025/06/09,"","",0,2025/05/27 09:17,"",Dさん,"","","","","","",いいえ,"",""
171248,走行制御DRアシスタント,タスク,"","",新規,通常,監2監7エクスポート機能実装,Dさん,"",2025/06/13 17:44,"","",2025/06/03,2025/06/09,"","",0,2025/05/27 09:17,"",Dさん,"","","","","","",いいえ,"",""
171247,走行制御DRアシスタント,タスク,"","",新規,通常,類似行追加機能実装,Dさん,"",2025/06/13 17:44,"","",2025/06/03,2025/06/09,"",0.00,0,2025/05/27 09:16,"",Dさん,"","","","","",0.00,いいえ,"",類似行が無い場合の動作は要確認
171215,O-Beya（マルチエージェント）,タスク,"","",新規,通常,用語集をヒントのように表示する：技術調査,Eさん,"",2025/06/10 15:13,"","",2025/06/11,2025/06/24,"","",0,2025/05/26 18:19,"",Eさん,"","","","","","",いいえ,"",""
171213,O-Beya（マルチエージェント）,タスク,"","",フィードバック,通常,検収作業（佐々木さん分）,Eさん,Gさん,2025/06/11 09:57,"",Sprint#21,2025/05/28,2025/06/10,"","",0,2025/05/26 18:18,"",Eさん,"","",2025/06/06,"","","",いいえ,"",IVISレビュー依頼済。続きは次のsprintで実施。
171187,走行制御DRアシスタント,タスク,170674,初期画面読み込みの残りAPI作成,終了,通常,プルリク,Hさん,"",2025/06/02 14:04,"",sprint#11,2025/05/20,2025/05/26,"","",0,2025/05/26 17:11,2025/06/02 14:04,Fさん,"","",2025/05/26,2025/06/02,0.00,0.00,いいえ,https://github.com/toyotasystems/ALM-DRAssistant/pull/13,""
171184,O-Beya（マルチエージェント）,タスク,"","",フィードバック,通常,【確認】出力するDRBFMシートやなぜなぜシートのフォーマット,Eさん,"",2025/06/03 09:43,"",Sprint#21,2025/05/28,2025/06/10,"","",0,2025/05/26 17:03,"",Eさん,"","",2025/06/03,"","","",いいえ,**Excel? markdown? サンプルがあればいただきたい**,""
171182,O-Beya（マルチエージェント）,タスク,"","",フィードバック,通常,【確認】6月の検収に向けた実装について,Eさん,"",2025/06/11 09:14,"",Sprint#21,2025/05/28,2025/06/10,"","",0,2025/05/26 17:00,"",Eさん,"","",2025/06/11,"","","",いいえ,**6月の検収報告に向けて、なぜなぜシートの実装完了を目標に進めます。**,2025/06/10 大西さんと相談した結果、検収までは技術検証予定
171180,O-Beya（マルチエージェント）,タスク,"","",フィードバック,通常,会話内容をもとにシートに書きだすシステム：要件定義～仕様検討,Eさん,Eさん,2025/06/11 09:16,"",Sprint#21,2025/05/28,2025/06/10,"",0.00,0,2025/05/26 16:58,"",Eさん,"","",2025/06/04,"","",0.00,いいえ,まずは現状のO-Beyaで、なぜなぜシートへの書き込み,""
171148,O-Beya（マルチエージェント）,タスク,"","",新規,通常,CORSポリシーエラーについて調査,Eさん,"",2025/06/10 15:13,"","",2025/06/11,2025/06/24,"","",0,2025/05/26 15:26,"",Eさん,"","","","","","",いいえ,"推論開始から3分くらい経っても終わっていないとコンソールに表示される。
エラーが発生しても、汎用RAGの推論は最後まで完了する。

参考：
https://teams.microsoft.com/l/message/19:0f4a1c0f8a3b4a2ab271c5e93e765466@thread.v2/1747995753780?context=%7B%22contextType%22%3A%22chat%22%7D",""
171090,業務アシスタント-制御設計サポートAI,タスク,"","",進行中,通常,No25_【認識合わせ】STEP1-2改修部分の詳細確認,Aさん,Pさん,2025/06/17 11:33,"",Sprint♯26,2025/06/11,2025/06/24,"","",0,2025/05/26 10:21,"",Pさん,"","",2025/06/17,"","","",いいえ,"Goal:
・STEP1-2の改修部分に関する疑問点を田中さんに確認し、改修部分に関して疑問点がなくなること
・開発メンバー全員が改修部分に対して共通した認識を持つこと",""
171069,データ化ツール,タスク,169690,【Docデータ化】バックエンド_開発(分類指定)​,終了,通常,【Docデータ化】バックエンド開発_IF・簡易シーケンス,Kさん,Kさん,2025/06/02 09:23,"",Sprint#4,2025/05/28,2025/06/10,"","",0,2025/05/26 09:26,2025/06/02 09:23,Kさん,"","",2025/05/26,2025/06/02,0.00,0.00,いいえ,"","吉田さん開発用シーケンス済
シーケンス：残は角谷実施予定のため、作成しない
IF：角谷-益田にて随時調整"
170907,O-Beya（マルチエージェント）,タスク,"","",新規,通常,会話履歴上のagent history モードの表記について相談,Eさん,"",2025/05/26 16:51,"","",2025/05/07,"","","",0,2025/05/23 18:41,"",Eさん,"","","","","","",いいえ,"",""
170899,走行制御DRアシスタント,タスク,"","",終了,通常,Webアプリ_選択行のハイライト,Hさん,Hさん,2025/06/06 11:26,"",Sprint#12,2025/05/20,2025/05/26,"",0.00,100,2025/05/23 18:10,2025/06/06 11:26,Dさん,"","",2025/05/28,2025/06/06,0.00,0.00,いいえ,ベクトル検索でクリックしたら行をハイライトさせる,ローカル動作確認済
170898,業務アシスタント作成検討,タスク,153772,無人格ユーザの利用確認_セキュリティ・トラスト部,終了,通常,Teams利用範囲の確認,Dさん,"",2025/06/02 18:57,"",sprint#47,2025/05/14,2025/05/27,"","",0,2025/05/23 18:01,2025/06/02 18:57,Cさん,"","",2025/05/23,2025/06/02,0.00,0.00,いいえ,"チャネル単位なら、チャネル内ユーザに了承をとれば可。
チーム単位は不明なので、利用範囲を明確にして、必要そうなら追加で問い合わせ",利用範囲を話し合って決める
170887,業務アシスタント作成検討,タスク,160140,【API化】実行サンプル用意,終了,通常,C#サンプル,Cさん,Cさん,2025/05/28 16:33,"",sprint#47,2025/05/14,2025/05/27,"","",0,2025/05/23 17:37,2025/05/28 16:33,Cさん,"","",2025/05/23,2025/05/28,0.00,0.00,いいえ,レビュ前,""
170886,業務アシスタント作成検討,タスク,160140,【API化】実行サンプル用意,終了,通常,pytonサンプル,Cさん,Cさん,2025/05/28 16:33,"",sprint#47,2025/05/14,2025/05/27,"","",0,2025/05/23 17:36,2025/05/28 16:33,Cさん,"","",2025/05/23,2025/05/28,0.00,0.00,いいえ,"",""
170756,走行制御DRアシスタント,タスク,"","",新規,通常,変化点入力後に行う、行追加・挿入のイメージ認識合わせ,Fさん,"",2025/05/23 11:19,"","",2025/05/23,"","","",0,2025/05/23 11:19,"","","","","","","","",いいえ,"",""
170748,走行制御DRアシスタント,タスク,"","",新規,通常,StaticeWebAppsの削除検討,Fさん,"",2025/06/06 11:26,"","",2025/05/27,2025/06/02,"","",0,2025/05/23 10:56,"",Dさん,"","","","","","",いいえ,削除でOK。,次回デプロイ時に削除
170746,O-Beya（マルチエージェント）,タスク,163602,Stagingデプロイしてスルーテスト,終了,通常,デプロイ時の課題対応,Fさん,"",2025/05/27 18:45,"",Sprint#20,2025/05/07,2025/05/20,"","",0,2025/05/23 10:52,2025/05/27 18:45,Eさん,"","",2025/05/23,2025/05/27,0.00,0.00,いいえ,"","2025/05/26 IVISレビュー完了, マージ済"
170677,走行制御DRアシスタント,タスク,"","",終了,通常,mainブランチのStaticWebAppsデプロイ解除,Hさん,"",2025/06/06 11:28,"",Sprint#12,2025/05/27,2025/06/02,"","",0,2025/05/22 19:11,2025/06/06 11:28,Dさん,"","",2025/06/05,2025/06/06,0.00,0.00,いいえ,GitHub Actionの設定解除,yaml削除完了、developにマージ済。次回デプロイ時にmainにマージ
170676,走行制御DRアシスタント,タスク,170674,初期画面読み込みの残りAPI作成,終了,通常,セル情報の取得API,Hさん,Hさん,2025/06/02 14:04,"",sprint#11,2025/05/20,2025/05/26,"","",0,2025/05/22 19:08,2025/06/02 14:04,Fさん,"","",2025/05/26,2025/06/02,0.00,0.00,いいえ,"",APIの用意まで完了。中身の処理はデータを準備してから調整予定
170675,走行制御DRアシスタント,タスク,170674,初期画面読み込みの残りAPI作成,終了,通常,列のヘッダー部分の取得API作成,Hさん,Hさん,2025/06/02 14:04,"",sprint#11,2025/05/20,2025/05/26,"","",0,2025/05/22 19:08,2025/06/02 14:04,Fさん,"","",2025/05/26,2025/06/02,0.00,0.00,いいえ,"",""
170674,走行制御DRアシスタント,タスク,"","",終了,通常,初期画面読み込みの残りAPI作成,Hさん,"",2025/06/02 14:04,"",sprint#11,2025/05/20,2025/05/26,"",0.00,100,2025/05/22 19:07,2025/06/02 14:04,Fさん,"","",2025/05/26,2025/06/02,0.00,0.00,いいえ,"",""
170648,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【実装】項目名情報抽出時のI/F定義書のみエラーメッセージ別に修正,Aさん,Aさん,2025/06/12 16:04,"",Sprint♯25,2025/05/28,2025/06/10,"",0.00,100,2025/05/22 17:45,2025/06/12 16:04,Aさん,"","",2025/06/03,2025/06/12,0.00,0.00,いいえ,"Goal：
項目名情報取得時に指定シートが存在しない場合のエラーメッセージがI/F定義書とcommon/scommonファイルでそれぞれ異なるメッセージが表示されるようになること","6/3
developブランチへのマージまで完了"
170579,MatlabCoDriver,タスク,170562,【バックエンド】接続DB表示（環境切り替えのような機能）システム開発,終了,通常,バックエンド実装,Cさん,"",2025/06/09 16:53,"",sprint#10,2025/05/28,2025/06/03,"","",0,2025/05/22 14:59,2025/06/09 16:53,Bさん,"","",2025/05/23,2025/06/09,0.00,0.00,いいえ,"",""
170562,MatlabCoDriver,タスク,"","",終了,通常,【バックエンド】接続DB表示（環境切り替えのような機能）システム開発,Cさん,Cさん,2025/06/09 16:53,"",sprint#10,2025/05/28,2025/06/03,"",0.00,100,2025/05/22 14:14,2025/06/09 16:53,Bさん,"","",2025/05/23,2025/06/09,0.00,0.00,いいえ,"",""
170561,業務アシスタント作成検討,タスク,"","",終了,通常,【汎用アプリ】環境払い出し(田中さん依頼),Cさん,Dさん,2025/06/11 09:53,"",Sprint#48,2025/05/28,2025/06/10,"","",0,2025/05/22 14:12,2025/06/11 09:53,Fさん,"","",2025/05/29,2025/06/11,0.00,0.00,いいえ,"以下二環境
・社外技術情報検索
・法規要件解釈推論",""
170525,走行制御DRアシスタント,タスク,170522,バックエンドAPI,終了,通常,環境変数追加,Hさん,"",2025/06/02 14:04,"",sprint#11,2025/05/20,2025/05/26,"","",0,2025/05/22 11:41,2025/06/02 14:04,Fさん,"","",2025/05/22,2025/06/02,0.00,0.00,いいえ,"COSMOS_DB_CONTAINER_KAN2_CHANGES=Changes
COSMOS_DB_CONTAINER_KAN2_ROWS=Rows",""
170524,走行制御DRアシスタント,タスク,170521,フロント,終了,通常,環境変数追加,Hさん,"",2025/06/02 14:04,"",sprint#11,2025/05/20,2025/05/26,"","",0,2025/05/22 11:40,2025/06/02 14:04,Fさん,"","",2025/05/22,2025/06/02,0.00,0.00,いいえ,"DR_ASSISTANT_FUNC_URL=""https://func-dr-assistant.azurewebsites.net""
API_GET_ROW=""/api/getRow""
API_GET_CHANGES=""/api/getChanges""",""
170522,走行制御DRアシスタント,タスク,170520,デプロイ作業,終了,通常,バックエンドAPI,Hさん,"",2025/06/02 14:04,"",sprint#11,2025/05/20,2025/05/26,"",0.00,100,2025/05/22 11:40,2025/06/02 14:04,Fさん,"","",2025/05/22,2025/06/02,0.00,0.00,いいえ,"",""
170521,走行制御DRアシスタント,タスク,170520,デプロイ作業,終了,通常,フロント,Hさん,Dさん,2025/06/02 14:04,"",sprint#11,2025/05/20,2025/05/26,"",0.00,100,2025/05/22 11:39,2025/06/02 14:04,Fさん,"","",2025/05/22,2025/06/02,0.00,0.00,いいえ,"",""
170520,走行制御DRアシスタント,タスク,"","",終了,通常,デプロイ作業,Hさん,Dさん,2025/06/02 14:04,"",sprint#11,2025/05/20,2025/05/26,"",0.00,100,2025/05/22 11:39,2025/06/02 14:04,Fさん,"","",2025/05/22,2025/06/02,0.00,0.00,いいえ,"",""
170515,走行制御DRアシスタント,タスク,169209,初期表示画面のデータ取得API作成,終了,通常,プルリク,Hさん,"",2025/06/02 14:05,"",sprint#11,2025/05/20,2025/05/26,"","",0,2025/05/22 11:34,2025/06/02 14:05,Fさん,"","",2025/05/22,2025/06/02,0.00,0.00,いいえ,https://github.com/toyotasystems/ALM-DRAssistant/pull/11,""
170423,データ化ツール,タスク,"","",進行中,通常,【Docデータ化】Reduxストア構造変更,Bさん,"",2025/06/17 09:41,"","","","","","",0,2025/05/22 09:16,"",Bさん,"","","","","","",いいえ,"以下を追加・修正。
・pageで親子関係を保持できる。子が親を見る
・ページに紐づく添付ファイルの追加削除を全体で共有できるように（分類>ページではなく、独立したデータを持てるように（ページが分類を見る））",""
170338,走行制御DRアシスタント,タスク,"","",終了,通常,プルリク_ボタン表示、行番号表示、行スクロール、行ジャンプ、ベクトルスコア合算表示,Hさん,"",2025/06/02 14:04,"",sprint#11,2025/05/20,2025/05/26,"","",0,2025/05/21 14:55,2025/06/02 14:04,Fさん,"","",2025/05/21,2025/06/02,0.00,0.00,いいえ,https://github.com/toyotasystems/ALM-DRAssistant/pull/11,5/22 プルリク指摘対応
170318,業務アシスタント-制御設計サポートAI,タスク,"","",新規,通常,No25_【設計】インスタンス単位でINPUT/OUTPUTをまとめて保存するフォルダ作成する処理の設計検討,Aさん,"",2025/06/11 13:03,"","",2025/06/11,2025/06/24,"","",0,2025/05/21 13:47,"",Aさん,"","","","","","",いいえ,"Goal：
・一度の実行単位でStorageにフォルダを作成し、INPUT/OUTPUTファイルをすべてそのフォルダ下に保存する仕組みが設計できること",""
170311,O-Beya（マルチエージェント）,課題,163534,開発課題：ざっくりどんな内容のファイルや関数かコメントで書いていない,終了,通常,最近追加したファイルにもコメントをつける,Eさん,Eさん,2025/05/27 18:46,"",Sprint#20,2025/05/07,2025/05/27,"","",0,2025/05/21 13:31,2025/05/27 18:46,Eさん,"","",2025/05/26,2025/05/27,0.00,0.00,いいえ,"",2025/05/27 続きは別チケットに分離
170297,MatlabCoDriver,タスク,"","",新規,通常,【MatlabCodriver】【将来対応】ユーザ(クライアント端末)←Azure(佐野さんツール)&matlab,Iさん,"",2025/05/21 13:03,"","",2025/05/21,"","","",0,2025/05/21 13:03,"",Iさん,"","","","","","",いいえ,"ユーザ(クライアント端末)←Azure(佐野さんツール)&matlab
※佐野さんツールを実行したいが、クライアント端末にmatlabをいれるの大変

ワイガヤが必要",""
170251,業務アシスタント-制御設計サポートAI,タスク,"","",終了,通常,No25_【実装】空フォーマットマトリクスへの転記処理の作成,Oさん,Lさん,2025/06/17 12:47,"",Sprint♯25,2025/05/28,2025/06/10,"",0.00,100,2025/05/21 11:12,2025/06/17 12:47,Aさん,"","",2025/06/06,2025/06/17,0.00,0.00,いいえ,"Goal:
・空フォーマットのEVマトリクスファイルへの転記する処理を実装すること
・すべてのテストパターンで期待通りの挙動を示すこと","6/9
単体テストで異常が見つかったため、該当箇所の実装を修正中"
170248,走行制御DRアシスタント,タスク,170246,開発環境の作成,終了,通常,CosmosDB,Fさん,"",2025/06/04 14:03,"",Sprint#12,2025/05/27,2025/06/02,"","",0,2025/05/21 11:06,2025/06/04 14:03,Dさん,"","",2025/06/04,2025/06/04,0.00,0.00,いいえ,"",""
170247,走行制御DRアシスタント,タスク,170246,開発環境の作成,終了,通常,"デプロイスロット(func, apps)",Fさん,"",2025/06/02 14:04,"",Sprint#12,2025/05/27,2025/06/02,"","",0,2025/05/21 11:06,2025/05/27 09:12,Fさん,"","",2025/05/27,2025/05/27,0.00,0.00,いいえ,"",作らないことになった。不要。
170246,走行制御DRアシスタント,タスク,"","",終了,通常,開発環境の作成,Fさん,"",2025/06/06 11:26,"",Sprint#12,2025/05/27,2025/06/02,"",0.00,100,2025/05/21 11:06,2025/06/06 11:26,Dさん,"","",2025/05/27,2025/06/04,0.00,0.00,いいえ,"",""
170244,走行制御DRアシスタント,タスク,"","",終了,通常,ベクトルスコアの合算,Fさん,"",2025/06/02 14:04,"",sprint#11,2025/05/20,2025/05/26,"","",0,2025/05/21 11:03,2025/06/02 14:04,Fさん,"","",2025/05/22,2025/06/02,0.00,0.00,いいえ,"",""
170239,走行制御DRアシスタント,タスク,"","",終了,通常,ベクトル検索後のUIで行選択して飛ぶ,Hさん,"",2025/06/02 14:05,"",sprint#11,2025/05/20,2025/05/26,"","",0,2025/05/21 10:51,2025/06/02 14:05,Fさん,"","",2025/05/21,2025/06/02,0.00,0.00,いいえ,"",""
170237,データ化ツール,タスク,"","",終了,通常,【M365Copilot】Teams投稿時に担当者が送信できるリンク作成(PA)_イメージ,Fさん,"",2025/05/28 10:37,"",Sprint#4,2025/05/28,2025/06/10,"","",0,2025/05/21 10:49,2025/05/28 10:37,Fさん,"","",2025/05/28,2025/05/28,0.00,0.00,いいえ,"",""
170209,データ化ツール,課題,"","",終了,通常,teams投稿時の文字化け,Fさん,Cさん,2025/05/26 09:06,"",Sprint#3,2025/05/14,2025/05/27,"","",0,2025/05/21 09:50,2025/05/26 09:06,Cさん,"","",2025/05/21,2025/05/26,0.00,0.00,いいえ,"",""
170007,業務アシスタント-制御設計サポートAI,タスク,"","",新規,通常,No25_【実装】アップロードされたフォルダの受け取り処理(各ファイルのBlob登録処理)実装,Aさん,"",2025/06/17 15:21,"",Sprint♯27,2025/06/25,2025/07/08,"","",0,2025/05/20 16:11,"",Aさん,"","","","","","",いいえ,"Goal：
アップロードされたフォルダを受け取り、API側で受け取ったファイル情報をBlobへ登録/確認できること",""
170006,業務アシスタント-制御設計サポートAI,タスク,"","",新規,通常,No25_【実装】複数ファイルをまとめたフォルダアップロード処理実装,Aさん,Pさん,2025/06/13 13:40,"",Sprint♯26,2025/06/11,2025/06/19,"","",0,2025/05/20 16:10,"",Aさん,"","","","","","",いいえ,"Goal：
・複数ファイルをまとめたフォルダがアップロードできること",""
170005,業務アシスタント-制御設計サポートAI,タスク,"","",新規,通常,No25_【設計】Uploadされた現行EVマトリクスブックの受け取り・更新処理の設計検討,Aさん,"",2025/06/03 09:48,"","",2025/05/20,"","","",0,2025/05/20 16:03,"","","","","","","","",いいえ,"Goal：
Uploadされた現行EVマトリクスブックのフォルダからの受け取り方法・ブック内の更新処理の設計検討が完了すること",""
170004,業務アシスタント-制御設計サポートAI,タスク,"","",新規,通常,No25_【設計】common/scommonファイルUpload時の処理設計,Aさん,"",2025/06/17 12:50,"",Sprint♯27,2025/06/25,2025/07/08,"","",0,2025/05/20 16:00,"",Aさん,"","","","","","",いいえ,"Goal：
Uploadされたフォルダ内にcommon/scommonファイルが存在した場合の既存common/scommonファイル格納先Blobの更新処理の設計が完了すること
※元のBlobを更新するかは未確定",""
170003,業務アシスタント-制御設計サポートAI,タスク,"","",進行中,通常,No25_【設計】複数ファイルをまとめたフォルダアップロードの処理検討,Aさん,Pさん,2025/06/17 11:33,"",Sprint♯26,2025/06/11,2025/06/17,"","",0,2025/05/20 15:52,"",Pさん,"","",2025/06/17,"","","",いいえ,"Goal：
複数ファイルをまとめたフォルダのアップロード方法/アップロード後の各ファイル受け取り処理の設計検討が完了すること",""
170000,業務アシスタント-制御設計サポートAI,タスク,"","",フィードバック,通常,No25_【デプロイ】STEP1-1機能改修分のStagingデプロイ,Aさん,"",2025/06/17 10:26,"",Sprint♯26,2025/06/11,2025/06/24,"","",100,2025/05/20 15:44,"",Aさん,"","",2025/06/12,"","","",いいえ,"Goal：
以下のリソースにSTEP1-1改修分の機能が動作するコードがデプロイされること",残：タグ付け
169785,MatlabCoDriver,タスク,"","",新規,通常,佐野さんツール_調査_実行結果だけをどのMatlabでも受け取れるような仕組みづくり,Bさん,"",2025/05/20 10:45,"","",2025/05/20,"","","",0,2025/05/20 10:45,"","","","","","","","",いいえ,"大西さん：指定バージョン以外のMatlabからでもツールを利用したのと同等の結果が得られるような仕組みができるといいな(5/20)
",""
169766,走行制御DRアシスタント,タスク,"","",新規,通常,【課題】関係ないスコアが高く出てくる？（後で内容正しく記載しておいてください。）,Iさん,"",2025/05/20 10:29,"","",2025/05/20,"","","",0,2025/05/20 10:29,"","","","","","","","",いいえ,"影響が低いと人間が判断するものでも、
日本語的に近いと判断されるとスコアに差が発生する

差を埋めるのか、そういうものなのかというと、
⇒そういうものなので、別の手段をという流れで

5/20に試してその後関係者でワイガヤ出来ればと思います。


ベクトル類似度だからDBをちゃんとしようにならなかったか？
※人の手できちんとする話が上がらなかったか？
⇒経験に従って埋めたい(みんなで一度埋めるか？）ただし手が止まりそう。

環境ごとでデータのフォーマット？構造が決まっているので、
データの入れ方はこうであるべきと決めていきたい(やってみようとなりたい)

一度、図示して認識合わせしたい。


●タスク：
・図作成
・ワイガヤ
・進め方決め


●重要
仕組みがというより、データを正しくがポイントです。
",""
169750,データ化ツール,タスク,"","",新規,通常,【M365Copilot】リリース後_今後の拡張性についてのご相談,Iさん,"",2025/05/20 10:14,"","",2025/05/20,"","","",0,2025/05/20 10:14,"","","","","","","","",いいえ,"リリース後に大西さんとのご相談

5/26週に上位層に展開する予定。

走行制御のメンバーのアカウント借りて、情報を入れていく段取りを検討していく必要あり。",""
169712,データ化ツール,タスク,"","",新規,通常,【Docデータ化】フロントエンド_分類ごとの画像保存の初期値,Iさん,"",2025/06/17 09:37,"","",2025/05/20,"","","",0,2025/05/20 09:55,"",Iさん,"","","","","","",いいえ,"ページの中に図表があったら初期値をAIが判定する
",""
169707,データ化ツール,タスク,"","",新規,通常,【Docデータ化】フロントエンド_開発(階層付け),Iさん,"",2025/06/03 09:58,"","",2025/05/20,"","","",0,2025/05/20 09:52,"",Bさん,"","","","","","",いいえ,"",""
169706,データ化ツール,タスク,"","",新規,通常,【Docデータ化】バックエンド_開発(階層付け),Iさん,"",2025/06/03 09:57,"","",2025/05/20,"","","",0,2025/05/20 09:51,"",Bさん,"","","","","","",いいえ,"",""
169705,データ化ツール,タスク,"","",新規,通常,【構造データ化UI】フロントエンド_開発(チャット機能),Iさん,"",2025/06/17 09:41,"",Sprint#5,2025/06/11,2025/06/24,"","",0,2025/05/20 09:49,"",Iさん,"","","","","","",いいえ,"",""
169704,データ化ツール,タスク,"","",進行中,通常,【Docデータ化UI】バックエンド_開発(チャット機能),Iさん,Nさん,2025/06/13 09:09,"",Sprint#5,2025/06/11,2025/06/24,"","",0,2025/05/20 09:49,"",Bさん,"","",2025/06/11,"","","",いいえ,"",""
169703,データ化ツール,タスク,"","",進行中,通常,【Docデータ化】バックエンド_開発(DB保存・DBからの読み込み抽出),Iさん,Kさん,2025/06/17 09:34,"",Sprint#5,2025/06/11,2025/06/24,"","",0,2025/05/20 09:48,"",Iさん,"","",2025/06/12,"","","",いいえ,"",""
169702,データ化ツール,タスク,"","",フィードバック,通常,【構造データ化UI】フロントエンド_開発(内容の再抽出),Iさん,Bさん,2025/06/17 09:34,"",Sprint#5,2025/06/11,2025/06/24,"","",0,2025/05/20 09:48,"",Iさん,"","",2025/06/17,"","","",いいえ,"",""
169701,データ化ツール,タスク,"","",フィードバック,通常,【Docデータ化UI】バックエンド_開発(内容の再抽出),Iさん,Kさん,2025/06/17 09:34,"",Sprint#5,2025/06/11,2025/06/24,"","",0,2025/05/20 09:47,"",Iさん,"","",2025/06/17,"","","",いいえ,"",分類優先（分類指定相当）の機能で実装
